activity_type;position;start_hour_1;start_hour_2;start_hour_3;start_hour_4;start_hour_5;start_hour_6;start_hour_7;start_hour_8;start_hour_9;start_hour_10;start_hour_11;start_hour_12;start_hour_13;start_hour_14;start_hour_15;start_hour_16;start_hour_17;start_hour_18;start_hour_19;start_hour_20;start_hour_21;start_hour_22;start_hour_23;start_hour_24
home;1;0.778210117;0.778210117;0.778210117;0.389105058;1.556420233;4.280155642;11.28404669;17.89883268;11.28404669;9.338521401;7.392996109;4.6692607;4.6692607;5.058365759;5.836575875;5.058365759;4.280155642;3.112840467;0.389105058;0.389105058;0.778210117;0;0;0
home;2;3.527714635;0.034971149;0.030599755;0.004371394;0.008742787;0.126770414;0.559538381;1.90592761;3.567057178;4.80853296;6.876202133;8.397447106;13.8004896;10.69242875;6.023780381;6.395348837;12.10876027;11.08585417;5.604126596;2.23378213;0.93547823;0.476481902;0.5464242;0.240426648
home;3;3.304066543;0;0.02310536;0;0.02310536;0.02310536;0.092421442;0.485212569;2.010166359;3.188539741;5.914972274;7.971349353;9.750462107;8.895563771;7.324399261;8.133086876;12.70794824;11.59889094;8.548983364;4.343807763;2.241219963;1.640480591;1.132162662;0.646950092
home;4;3.634777552;0.058156441;0.048463701;0.01938548;0.00969274;0.00969274;0.048463701;0.116312882;0.348938645;1.075894155;2.316564893;4.322962101;5.427934477;4.691286227;5.573325579;8.859164486;13.49229427;15.20790928;12.30008723;6.978772899;5.059610352;4.652515266;4.032179897;0.01938548
home;5;3.038359286;0.075958982;0.113938473;0.037979491;0.037979491;0;0;0.113938473;0.151917964;0.379794911;1.481200152;3.759969616;6.038739081;5.962780099;5.620964679;7.937713635;12.761109;14.62210406;13.44473984;7.861754652;4.671477402;4.823395367;5.165210786;1.823015572
home;6;3.188028627;0.130123617;0.130123617;0.032530904;0.032530904;0;0;0;0.032530904;0.195185426;0.357839948;2.277163305;3.253090436;3.415744958;4.163955758;6.733897202;12.19908913;15.09433962;14.67143787;10.05204945;7.38451529;7.124268055;6.636304489;2.895250488
home;7;1.769911504;0;0.442477876;0.088495575;0.088495575;0.088495575;0;0;0;0.17699115;0.17699115;1.504424779;2.654867257;3.097345133;3.89380531;4.424778761;11.32743363;17.16814159;15.30973451;11.15044248;6.991150442;8.849557522;7.168141593;3.628318584
other_place;1;0.585321927;0.045024764;0;0.090049527;0.225123818;1.530841963;5.808194507;14.49797389;21.79198559;19.1805493;11.84151283;4.547501126;2.341287708;5.357946871;4.547501126;2.386312472;1.755965781;1.260693381;1.035569563;1.035569563;0.135074291;0;0;0
other_place;2;0.737100737;0;0;0.163800164;0;0.245700246;0.819000819;1.883701884;4.995904996;10.56511057;9.336609337;11.62981163;17.77231777;9.5004095;9.254709255;6.142506143;5.323505324;5.405405405;3.521703522;1.556101556;0.245700246;0.573300573;0.327600328;0
other_place;3;0.66603235;0;0;0;0.047573739;0.047573739;0.142721218;0.523311132;1.474785918;3.520456708;5.328258801;5.803996194;4.567078972;10.03805899;13.03520457;11.65556613;10.37107517;10.75166508;10.79923882;8.230256898;2.473834443;0.190294957;0.142721218;0.190294957
